Facades,Habitable Surface,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,ANTWERPEN,BRUSSEL,HENEGOUWEN,LIMBURG,LUIK,LUXEMBURG,NAMEN,OOST-VLAANDEREN,VLAAMS-BRABANT,WAALS-BRABANT,WEST-VLAANDEREN
4,5516.704144267536,1,3,10,14,0,1,0,805.2377933982169,0,4,2617.7934202186757,8,80075.4761058776,0,0,0,0,0,0,1,0,0,0,0
2,792.5172642553714,6,1,5,12,2,1,0,729.6771191611422,0,3,2432.7050153028877,4,30301.90772018865,0,0,1,0,0,0,0,0,0,0,0
1,7284.718436337858,3,4,14,21,2,0,0,614.639646640852,1,3,563.2370508509309,3,31113.020805035343,0,0,1,0,0,0,0,0,0,0,0
1,5359.507246464023,0,2,1,3,1,0,0,327.7954024292108,0,2,615.8152854685533,1,64121.52338375776,0,0,0,0,1,0,0,0,0,0,0
1,29.15435707362756,2,3,31,36,1,1,0,955.3354978210235,0,6,1094.3583174304747,2,51575.77268807791,0,0,0,0,0,0,0,0,0,1,0
2,455.1280100490426,0,2,39,41,3,1,1,357.17728775185407,1,6,3076.2201086132072,8,127199.92338257802,0,0,0,1,0,0,0,0,0,0,0
3,2510.386419578675,1,1,35,37,0,1,0,42.8616348058036,1,6,3130.428377901537,2,104952.5738979311,0,0,0,0,0,0,0,0,0,0,1
5,3994.176474822094,5,1,27,33,0,1,1,14.065331072947302,1,3,3253.89247722065,1,14671.410291432727,0,0,0,1,0,0,0,0,0,0,0
5,4987.786167509092,2,4,32,38,3,0,0,303.92244312384025,1,3,2465.604008390772,8,68361.41065744383,0,0,1,0,0,0,0,0,0,0,0
5,3968.9908702605694,4,2,24,30,3,0,0,594.7545490560647,1,3,638.3352336597898,5,96785.31972555492,0,1,0,0,0,0,0,0,0,0,0
2,5113.167740195504,3,4,40,47,3,1,0,295.88598945422666,1,4,3911.3378924058707,2,1221.4020052991762,0,0,0,0,0,1,0,0,0,0,0
2,1835.798099888897,6,3,16,25,0,1,0,677.744406467237,0,4,490.1079926410597,2,2981.7741949434417,0,0,0,0,0,1,0,0,0,0,0
4,7185.34953645124,6,3,17,26,0,0,1,940.6969727785214,1,2,3521.278664742531,7,136521.07444085518,0,0,0,0,0,0,0,1,0,0,0
5,3374.281978176163,2,4,24,30,2,0,1,659.280136818275,0,6,2165.6412101748347,4,40586.45031783546,0,0,1,0,0,0,0,0,0,0,0
1,6120.722528371825,1,4,21,26,0,0,0,178.09726233309146,0,4,1838.8509832999182,4,9312.113129732881,0,0,0,1,0,0,0,0,0,0,0
4,6570.099254456978,5,3,8,16,3,0,0,635.5952215385846,1,4,3834.071526808539,1,96981.52215919735,0,0,0,1,0,0,0,0,0,0,0
3,6301.822483131645,5,3,38,46,0,0,1,765.0005935652101,1,5,2896.330663410581,2,62609.73417589992,0,0,0,0,0,0,0,0,0,0,1
2,3845.671235609766,3,3,15,21,3,0,1,850.9989722322066,0,1,3436.9509608948456,5,39062.61425771682,0,0,0,0,0,0,1,0,0,0,0
4,3121.8683219080876,2,4,34,40,3,0,1,887.8157009405337,1,1,2625.1259828624607,3,73739.85749027588,0,0,0,0,0,0,0,0,0,1,0
3,739.5502832307308,2,4,29,35,0,1,1,868.9644869455864,1,3,2034.6904380794463,6,83653.35412170325,1,0,0,0,0,0,0,0,0,0,0
4,3193.637059052864,2,1,4,7,1,0,1,891.7888080480278,0,4,4103.807789086992,4,107859.60984059979,1,0,0,0,0,0,0,0,0,0,0
1,2315.1852804480823,2,1,28,31,0,1,0,98.07968872905944,0,1,2351.5311494167404,7,26070.77194735348,0,0,0,0,0,0,0,1,0,0,0
5,1416.3894305884487,5,2,10,17,2,1,1,465.25341799851213,1,5,1428.5706131772583,2,3372.9588495614607,0,0,0,1,0,0,0,0,0,0,0
2,4168.373004355658,2,1,7,10,0,0,0,543.3224501265003,0,2,4137.338230338814,8,128079.04029182323,0,0,0,0,0,0,0,0,0,1,0
