Facades,Habitable Surface,Land Surface,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,ANTWERPEN,BRUSSEL,HENEGOUWEN,LIMBURG,LUIK,LUXEMBURG,NAMEN,OOST-VLAANDEREN,VLAAMS-BRABANT,WAALS-BRABANT,WEST-VLAANDEREN
1,2078.7083385252636,49304.21983293936,36,10,4,50,3,0,0,1,5,31.599753388876024,5,76803.3715593533,0,0,0,0,0,0,0,0,0,0,1
2,2627.117207392244,38426.04127818662,57,14,9,80,3,0,1,0,5,686.8212035102321,3,60268.902323282906,0,1,0,0,0,0,0,0,0,0,0
6,4465.701508533433,6551.766234555376,54,12,9,75,3,1,1,0,3,1133.6592811596076,3,6179.015500761777,0,0,0,0,0,0,0,0,0,0,1
4,7517.597986813276,18956.16132842269,17,5,4,26,3,0,0,0,3,370.10429119604265,3,43105.377664882806,0,0,1,0,0,0,0,0,0,0,0
1,6643.041919981443,44998.27144266366,2,7,1,10,0,0,1,0,1,170.67441866981522,1,40508.34085805695,0,0,0,0,0,0,1,0,0,0,0
6,7734.293424795471,6017.068047488263,58,3,4,65,2,0,1,1,4,753.4844833146685,4,72531.97148749331,0,1,0,0,0,0,0,0,0,0,0
2,2728.6962745709507,48558.55571974929,21,10,15,46,1,1,1,1,3,988.6135972170504,6,85918.18709715537,0,0,0,0,0,1,0,0,0,0,0
4,5340.540895874671,48233.83224551541,52,5,15,72,2,0,1,0,2,718.5480589706467,7,54796.594998674496,0,0,0,0,0,0,0,1,0,0,0
4,4972.190144625391,28010.813161687987,8,9,14,31,3,1,0,0,1,31.856507010959398,8,67533.14573851084,0,0,0,0,1,0,0,0,0,0,0
8,7450.12898820135,3573.5656382083007,38,15,5,58,0,0,1,1,6,1138.7196073982677,1,128772.6523696821,0,0,0,1,0,0,0,0,0,0,0
3,5694.037443961391,3565.0223285989814,25,5,3,33,3,1,1,1,6,118.60090844158101,2,118738.9047114061,1,0,0,0,0,0,0,0,0,0,0
