Price,Postal Code,Facades,Habitable Surface,Land Surface,Type,Subtype,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,Heating Type,Province
220000.0,4300,3.0,115.0,,APARTMENT,APARTMENT,3.0,1.0,2.0,6.0,,0,1,,0,GOOD,34.0,C,187.0,FUELOIL,LUIK
339000.0,9230,3.0,134.0,,APARTMENT,DUPLEX,3.0,1.0,2.0,6.0,INSTALLED,0,1,,1,GOOD,30.0,B,113.0,GAS,OOST-VLAANDEREN
495000.0,1050,2.0,134.0,,APARTMENT,APARTMENT,2.0,1.0,2.0,5.0,INSTALLED,0,1,12.0,0,GOOD,40.0,D,202.0,GAS,BRUSSEL
175000.0,2600,2.0,90.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,INSTALLED,0,1,7.0,0,GOOD,37.0,B,124.0,,ANTWERPEN
289000.0,1090,2.0,80.0,,APARTMENT,APARTMENT,3.0,1.0,1.0,5.0,INSTALLED,0,1,2.0,0,GOOD,30.0,G,383.0,,BRUSSEL
995000.0,2930,2.0,315.0,,APARTMENT,PENTHOUSE,2.0,1.0,2.0,5.0,HYPER_EQUIPPED,1,1,40.0,0,AS_NEW,,B,192.0,,ANTWERPEN
171717.0,1070,2.0,76.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,SEMI_EQUIPPED,0,1,6.0,0,TO_RENOVATE,36.0,F,326.0,GAS,BRUSSEL
195500.0,1000,,25.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
216500.0,1000,,24.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
223500.0,1000,,25.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
230500.0,1000,,31.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
230500.0,1000,,24.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
230500.0,1000,,29.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
230500.0,1000,,23.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
230500.0,1000,,25.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
230500.0,1000,,22.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
237500.0,1000,,31.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
237500.0,1000,,25.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
244500.0,1000,,25.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
244500.0,1000,,31.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
255000.0,1000,,31.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
265500.0,1000,,26.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
265500.0,1000,,29.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,0,,0,,,,,GAS,BRUSSEL
210000.0,1831,,50.0,,APARTMENT,FLAT_STUDIO,0.0,,,,,0,0,,0,,,A,20.0,SOLAR,VLAAMS-BRABANT
270000.0,1831,,67.0,,APARTMENT,APARTMENT,1.0,,,1.0,,0,0,,0,,,A,20.0,SOLAR,VLAAMS-BRABANT
329000.0,1831,,90.0,,APARTMENT,APARTMENT,2.0,,,2.0,,0,0,,0,,,A,20.0,SOLAR,VLAAMS-BRABANT
359000.0,1831,,110.0,,APARTMENT,APARTMENT,3.0,,,3.0,,0,0,,0,,,A,20.0,SOLAR,VLAAMS-BRABANT
249000.0,2640,,83.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,1,2.0,0,GOOD,41.0,B,188.0,GAS,ANTWERPEN
249000.0,9800,,170.0,,APARTMENT,APARTMENT,4.0,1.0,1.0,6.0,INSTALLED,0,1,74.0,0,TO_BE_DONE_UP,55.0,B,118.0,GAS,OOST-VLAANDEREN
250000.0,1030,2.0,65.0,,APARTMENT,DUPLEX,1.0,1.0,2.0,4.0,USA_HYPER_EQUIPPED,0,0,,0,AS_NEW,31.0,C,149.0,GAS,BRUSSEL
255000.0,1420,2.0,88.0,,APARTMENT,APARTMENT,2.0,2.0,2.0,6.0,INSTALLED,0,1,6.0,0,GOOD,36.0,C,233.0,ELECTRIC,WAALS-BRABANT
259000.0,1140,3.0,55.0,,APARTMENT,FLAT_STUDIO,1.0,1.0,,2.0,,0,1,7.0,0,,,B,46.0,,BRUSSEL
269000.0,1140,3.0,55.0,,APARTMENT,FLAT_STUDIO,1.0,1.0,,2.0,USA_HYPER_EQUIPPED,0,1,7.0,0,,,B,47.45,,BRUSSEL
399000.0,1140,3.0,85.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,,0,1,6.0,0,,,A,31.14,,BRUSSEL
459000.0,1140,3.0,116.0,,APARTMENT,APARTMENT,3.0,2.0,,5.0,,0,1,6.0,0,,,A,29.67,,BRUSSEL
469000.0,1140,3.0,115.0,,APARTMENT,APARTMENT,3.0,2.0,,5.0,,0,1,6.0,0,,,A,34.52,,BRUSSEL
489000.0,1140,3.0,108.0,,APARTMENT,PENTHOUSE,3.0,2.0,,5.0,,0,1,14.0,0,,,A,43.16,,BRUSSEL
529000.0,1140,3.0,127.0,,APARTMENT,PENTHOUSE,3.0,2.0,,5.0,,0,1,16.0,0,,,B,50.92,,BRUSSEL
265000.0,1200,,43.0,,APARTMENT,FLAT_STUDIO,0.0,,,,,0,0,,0,,,,,,BRUSSEL
365000.0,1200,,71.0,,APARTMENT,APARTMENT,1.0,,,1.0,,0,0,,0,,,,,,BRUSSEL
490000.0,1200,,110.0,,APARTMENT,APARTMENT,2.0,,,2.0,,0,0,,0,,,,,,BRUSSEL
635000.0,1200,,126.0,,APARTMENT,APARTMENT,3.0,,,3.0,,0,0,,0,,,,,,BRUSSEL
845000.0,1200,,152.0,,APARTMENT,APARTMENT,4.0,,,4.0,,0,0,,0,,,,,,BRUSSEL
265000.0,2270,3.0,82.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,1,13.0,0,,42.0,,,,ANTWERPEN
269000.0,2270,3.0,82.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,INSTALLED,0,1,8.0,0,,35.0,,,,ANTWERPEN
299000.0,2270,3.0,94.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,INSTALLED,0,1,13.0,0,,29.0,,,,ANTWERPEN
308000.0,2270,3.0,95.0,,APARTMENT,GROUND_FLOOR,2.0,1.0,1.0,4.0,INSTALLED,0,1,19.0,1,,31.0,,,,ANTWERPEN
270000.0,9800,2.0,61.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,HYPER_EQUIPPED,0,1,10.0,0,AS_NEW,,A,1.0,,OOST-VLAANDEREN
325000.0,9800,2.0,95.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,HYPER_EQUIPPED,0,1,16.0,0,AS_NEW,27.0,A,1.0,,OOST-VLAANDEREN
375000.0,9800,2.0,96.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,HYPER_EQUIPPED,0,1,15.0,0,AS_NEW,24.0,A,1.0,,OOST-VLAANDEREN
375000.0,9800,2.0,82.0,,APARTMENT,PENTHOUSE,2.0,1.0,1.0,4.0,HYPER_EQUIPPED,0,1,28.0,0,AS_NEW,20.0,A,1.0,,OOST-VLAANDEREN
395000.0,9800,2.0,99.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,HYPER_EQUIPPED,0,1,12.0,0,AS_NEW,34.0,A,1.0,,OOST-VLAANDEREN
400000.0,9800,2.0,85.0,,APARTMENT,PENTHOUSE,2.0,1.0,1.0,4.0,HYPER_EQUIPPED,0,1,28.0,0,AS_NEW,22.0,A,1.0,,OOST-VLAANDEREN
420000.0,9800,2.0,82.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,HYPER_EQUIPPED,0,1,29.0,0,AS_NEW,24.0,A,1.0,,OOST-VLAANDEREN
275000.0,8370,,84.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,INSTALLED,0,1,18.0,0,,,,,,WEST-VLAANDEREN
335000.0,8370,,82.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,INSTALLED,0,1,8.0,0,,,,,,WEST-VLAANDEREN
422500.0,8370,,91.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,INSTALLED,0,1,9.0,0,,,,,,WEST-VLAANDEREN
795000.0,8370,,144.0,,APARTMENT,APARTMENT,3.0,2.0,,5.0,INSTALLED,0,1,38.0,0,,,,,,WEST-VLAANDEREN
298000.0,1300,2.0,82.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,USA_HYPER_EQUIPPED,0,1,10.0,0,AS_NEW,40.0,B,93.0,GAS,WAALS-BRABANT
308000.0,1000,3.0,82.0,,APARTMENT,GROUND_FLOOR,2.0,1.0,,3.0,USA_INSTALLED,0,1,6.0,0,,,,,,BRUSSEL
321000.0,1000,3.0,81.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,USA_INSTALLED,0,1,6.0,0,,,,,,BRUSSEL
326000.0,1000,3.0,81.0,,APARTMENT,PENTHOUSE,2.0,1.0,,3.0,USA_INSTALLED,0,1,6.0,0,,,,,,BRUSSEL
354000.0,1000,3.0,100.0,,APARTMENT,GROUND_FLOOR,2.0,1.0,,3.0,USA_INSTALLED,0,1,10.0,0,,,,,,BRUSSEL
325000.0,1000,4.0,92.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,0,,0,,,,,,BRUSSEL
330000.0,1000,4.0,92.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,0,,0,,,,,,BRUSSEL
335000.0,1000,4.0,92.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,0,,0,,,,,,BRUSSEL
337000.0,1000,4.0,92.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,0,,0,,,,,,BRUSSEL
339000.0,1000,4.0,92.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,1,7.0,0,,,,,,BRUSSEL
343000.0,1000,4.0,92.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,1,7.0,0,,,,,,BRUSSEL
347000.0,1000,4.0,92.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,1,7.0,0,,,,,,BRUSSEL
349000.0,1000,4.0,96.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,1,7.0,0,,,,,,BRUSSEL
351000.0,1000,4.0,92.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,1,7.0,0,,,,,,BRUSSEL
354000.0,1000,4.0,96.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,1,7.0,0,,,,,,BRUSSEL
364000.0,1000,4.0,99.0,,APARTMENT,GROUND_FLOOR,2.0,2.0,,4.0,HYPER_EQUIPPED,0,1,12.0,0,,,,,,BRUSSEL
365000.0,1000,4.0,99.0,,APARTMENT,GROUND_FLOOR,2.0,2.0,,4.0,HYPER_EQUIPPED,0,1,12.0,0,,,,,,BRUSSEL
370000.0,1000,4.0,96.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,HYPER_EQUIPPED,0,1,7.0,0,,,,,,BRUSSEL
375000.0,1000,4.0,103.0,,APARTMENT,GROUND_FLOOR,2.0,2.0,,4.0,HYPER_EQUIPPED,0,1,13.0,0,,,,,,BRUSSEL
380000.0,1000,4.0,111.0,,APARTMENT,GROUND_FLOOR,3.0,2.0,,5.0,HYPER_EQUIPPED,0,0,,0,,,,,,BRUSSEL
380000.0,1000,4.0,96.0,,APARTMENT,PENTHOUSE,2.0,1.0,,3.0,HYPER_EQUIPPED,0,1,7.0,0,,,,,,BRUSSEL
386000.0,1000,4.0,110.0,,APARTMENT,GROUND_FLOOR,3.0,2.0,,5.0,HYPER_EQUIPPED,0,1,7.0,0,,,,,,BRUSSEL
328500.0,9230,4.0,105.0,,APARTMENT,GROUND_FLOOR,2.0,1.0,1.0,4.0,USA_HYPER_EQUIPPED,0,1,9.0,0,AS_NEW,28.0,,,GAS,OOST-VLAANDEREN
334500.0,9230,4.0,107.0,,APARTMENT,GROUND_FLOOR,2.0,1.0,1.0,4.0,USA_HYPER_EQUIPPED,0,1,9.0,0,AS_NEW,28.0,,,GAS,OOST-VLAANDEREN
338000.0,9230,4.0,94.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,USA_HYPER_EQUIPPED,0,1,20.0,0,AS_NEW,25.0,,,GAS,OOST-VLAANDEREN
342000.0,9230,4.0,110.0,,APARTMENT,GROUND_FLOOR,2.0,1.0,1.0,4.0,USA_HYPER_EQUIPPED,0,1,8.0,0,AS_NEW,28.0,,,GAS,OOST-VLAANDEREN
342000.0,9230,4.0,103.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,USA_HYPER_EQUIPPED,0,1,22.0,0,AS_NEW,25.0,,,GAS,OOST-VLAANDEREN
355000.0,1000,4.0,95.0,,APARTMENT,GROUND_FLOOR,2.0,1.0,,3.0,USA_INSTALLED,0,1,6.0,0,,,,,,BRUSSEL
357000.0,1000,4.0,94.0,,APARTMENT,GROUND_FLOOR,2.0,1.0,,3.0,USA_INSTALLED,0,1,6.0,0,,,,,,BRUSSEL
360000.0,1000,4.0,95.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,USA_INSTALLED,0,1,6.0,0,,,,,,BRUSSEL
363000.0,1000,4.0,97.0,,APARTMENT,GROUND_FLOOR,2.0,1.0,,3.0,USA_INSTALLED,0,1,6.0,0,,,,,,BRUSSEL
369000.0,1000,4.0,95.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,USA_INSTALLED,0,1,6.0,0,,,,,,BRUSSEL
374000.0,1000,4.0,95.0,,APARTMENT,APARTMENT,2.0,1.0,,3.0,USA_INSTALLED,0,1,6.0,0,,,,,,BRUSSEL
375000.0,1200,,66.0,,APARTMENT,APARTMENT,1.0,,,1.0,,0,0,,0,,,,,ELECTRIC,BRUSSEL
585000.0,1200,,107.0,,APARTMENT,APARTMENT,2.0,,,2.0,,0,0,,0,,,,,ELECTRIC,BRUSSEL
625000.0,1200,,123.0,,APARTMENT,APARTMENT,3.0,,,3.0,,0,0,,0,,,,,,BRUSSEL
730000.0,1200,,130.0,,APARTMENT,APARTMENT,3.0,,,3.0,,0,0,,0,,,,,ELECTRIC,BRUSSEL
