Price,Postal Code,Facades,Habitable Surface,Land Surface,Type,Subtype,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,Heating Type,Province
378500.0,9800,2.0,123.0,175.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,30.0,,,,OOST-VLAANDEREN
381000.0,9800,2.0,123.0,191.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,33.0,,,,OOST-VLAANDEREN
399500.0,9800,3.0,123.0,168.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,31.0,,,GAS,OOST-VLAANDEREN
410400.0,9800,3.0,123.0,234.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,31.0,,,,OOST-VLAANDEREN
411900.0,9800,3.0,123.0,252.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,31.0,,,,OOST-VLAANDEREN
415650.0,9800,3.0,123.0,268.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,31.0,,,,OOST-VLAANDEREN
421900.0,9800,3.0,132.0,226.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,27.0,,,,OOST-VLAANDEREN
423400.0,9800,3.0,132.0,227.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,27.0,,,,OOST-VLAANDEREN
431450.0,9800,3.0,132.0,359.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,27.0,,,,OOST-VLAANDEREN
439000.0,9800,3.0,132.0,270.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,25.0,,,GAS,OOST-VLAANDEREN
485000.0,9800,4.0,132.0,419.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,33.0,,,,OOST-VLAANDEREN
586500.0,9800,4.0,192.0,432.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,31.0,,,,OOST-VLAANDEREN
588500.0,9800,3.0,140.0,419.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,36.0,,,,OOST-VLAANDEREN
597000.0,9800,4.0,192.0,552.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,31.0,,,,OOST-VLAANDEREN
599500.0,9800,4.0,181.0,587.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,,0,AS_NEW,30.0,,,,OOST-VLAANDEREN
420000.0,6781,4.0,200.0,1019.0,HOUSE,HOUSE,5.0,1.0,2.0,8.0,INSTALLED,0,1,29.0,0,GOOD,35.0,G,700.0,FUELOIL,LUXEMBURG
395000.0,9660,3.0,144.0,196.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,20.0,1,,38.0,A,20.0,GAS,OOST-VLAANDEREN
398000.0,9660,2.0,144.0,249.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,22.0,1,,37.0,A,20.0,GAS,OOST-VLAANDEREN
495000.0,1310,4.0,185.0,802.0,HOUSE,VILLA,4.0,1.0,2.0,7.0,,0,0,,0,TO_RENOVATE,34.0,E,386.0,GAS,WAALS-BRABANT
269900.0,3511,3.0,119.0,657.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,HYPER_EQUIPPED,0,1,,0,,,E,446.0,,LIMBURG
1590000.0,4121,4.0,480.0,2812.0,HOUSE,VILLA,5.0,4.0,3.0,12.0,INSTALLED,0,1,179.0,1,AS_NEW,,A,63.0,,LUIK
515000.0,3120,4.0,150.0,518.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,HYPER_EQUIPPED,0,1,,0,AS_NEW,,A,10.0,GAS,VLAAMS-BRABANT
269000.0,2300,2.0,178.0,172.0,HOUSE,HOUSE,4.0,1.0,,5.0,HYPER_EQUIPPED,0,0,,0,,32.0,B,107.0,GAS,ANTWERPEN
99000.0,2275,4.0,33.0,2684.0,HOUSE,CHALET,1.0,1.0,1.0,3.0,,0,1,6.0,1,GOOD,,,,,ANTWERPEN
519000.0,1740,4.0,176.0,604.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,HYPER_EQUIPPED,0,1,,0,GOOD,32.0,B,176.0,,VLAAMS-BRABANT
492000.0,1082,2.0,158.0,435.0,HOUSE,HOUSE,3.0,1.0,1.0,5.0,INSTALLED,0,1,,0,GOOD,32.0,G,512.0,GAS,BRUSSEL
584000.0,2880,3.0,284.0,1535.0,HOUSE,HOUSE,4.0,1.0,2.0,7.0,,0,0,,0,TO_RENOVATE,,,,FUELOIL,ANTWERPEN
299000.0,2223,3.0,,1604.0,HOUSE,HOUSE,3.0,,1.0,4.0,INSTALLED,0,0,,0,TO_BE_DONE_UP,41.0,F,519.0,GAS,ANTWERPEN
550000.0,5170,4.0,455.0,4003.0,HOUSE,HOUSE,4.0,4.0,6.0,14.0,USA_INSTALLED,0,1,66.0,1,AS_NEW,25.0,D,302.0,FUELOIL,NAMEN
390000.0,5310,4.0,290.0,2490.0,HOUSE,MIXED_USE_BUILDING,5.0,2.0,3.0,10.0,INSTALLED,0,0,,1,TO_RENOVATE,40.0,D,286.0,FUELOIL,NAMEN
349000.0,9100,2.0,143.0,200.0,HOUSE,HOUSE,4.0,3.0,,7.0,,0,0,,0,,,D,383.0,GAS,OOST-VLAANDEREN
545000.0,8720,4.0,214.0,3472.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,50.0,E,431.0,FUELOIL,WEST-VLAANDEREN
299000.0,1495,3.0,130.0,681.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,,C,235.0,GAS,WAALS-BRABANT
275000.0,4690,3.0,230.0,180.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,41.0,F,480.0,FUELOIL,LUIK
619000.0,8490,4.0,270.0,512.0,HOUSE,VILLA,5.0,1.0,,6.0,,0,1,,0,,,A,77.0,ELECTRIC,WEST-VLAANDEREN
219000.0,8400,4.0,,276.0,HOUSE,HOUSE,3.0,,,3.0,,0,0,,0,TO_RENOVATE,,D,317.0,GAS,WEST-VLAANDEREN
395000.0,8600,4.0,171.0,557.0,HOUSE,HOUSE,3.0,,,3.0,,0,0,,0,GOOD,,C,288.0,GAS,WEST-VLAANDEREN
519000.0,9180,4.0,215.0,800.0,HOUSE,VILLA,4.0,,,4.0,USA_HYPER_EQUIPPED,0,1,10.0,1,JUST_RENOVATED,,B,165.0,GAS,OOST-VLAANDEREN
356147.0,9890,3.0,120.0,214.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,HYPER_EQUIPPED,0,1,18.0,1,AS_NEW,36.0,,,,OOST-VLAANDEREN
364163.0,9890,3.0,120.0,238.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,HYPER_EQUIPPED,0,1,15.0,1,AS_NEW,36.0,,,,OOST-VLAANDEREN
369173.0,9890,3.0,120.0,253.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,HYPER_EQUIPPED,0,1,15.0,1,AS_NEW,36.0,,,,OOST-VLAANDEREN
386889.0,9890,2.0,153.0,154.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,HYPER_EQUIPPED,0,1,17.0,1,AS_NEW,32.0,,,,OOST-VLAANDEREN
388789.0,9890,2.0,153.0,159.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,HYPER_EQUIPPED,0,1,17.0,1,AS_NEW,32.0,,,,OOST-VLAANDEREN
380600.0,2430,3.0,209.0,0.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,INSTALLED,0,0,,1,,41.0,,,,ANTWERPEN
384946.0,2520,2.0,150.0,251.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,,A,,,ANTWERPEN
389402.0,2520,2.0,149.0,254.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,,A,,,ANTWERPEN
414840.0,2520,2.0,192.0,272.0,HOUSE,HOUSE,4.0,1.0,,5.0,,0,1,,0,,,A,,,ANTWERPEN
424154.0,2520,2.0,194.0,268.0,HOUSE,HOUSE,4.0,1.0,,5.0,,0,1,,0,,,A,,,ANTWERPEN
470352.0,2520,3.0,166.0,400.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,,A,,,ANTWERPEN
486068.0,2520,3.0,168.0,448.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,,A,,,ANTWERPEN
397660.0,2430,3.0,201.0,505.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,,0,1,,1,,,,,,ANTWERPEN
475000.0,1820,4.0,161.0,721.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,INSTALLED,0,1,,1,GOOD,43.0,C,258.0,GAS,VLAAMS-BRABANT
