Facades,Habitable Surface,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,ANTWERPEN,BRUSSEL,HENEGOUWEN,LIMBURG,LUIK,LUXEMBURG,NAMEN,OOST-VLAANDEREN,VLAAMS-BRABANT,WAALS-BRABANT,WEST-VLAANDEREN
4.0,121.0,3.0,1.0,2.0,6.0,1.0,0,1,13.704347826086956,0,6.0,49.0,7.0,85.0,0,0,0,0,0,0,0,0,0,1,0
2.0,97.0,2.0,1.0,1.0,4.0,1.0,0,0,8.333333333333334,0,4.0,24.181818181818183,6.0,169.0,0,0,0,0,0,0,0,0,0,0,1
2.0,106.0,2.0,1.0,1.0,2.0,1.0,0,1,10.0,0,6.0,45.16,6.0,138.82,1,0,0,0,0,0,0,0,0,0,0
4.0,96.0,2.0,1.0,1.0,4.0,1.0,0,1,16.0,0,6.0,36.0,7.0,102.0909090909091,0,0,1,0,0,0,0,0,0,0,0
2.0,78.0,2.0,1.0,1.0,4.0,1.0,0,1,8.333333333333334,0,1.0,34.0,2.0,219.0,0,0,0,0,0,0,0,0,0,0,1
2.0,54.0,0.0,1.0,1.0,1.0,3.0,0,1,5.0,0,6.0,29.252225519287837,6.0,95.0,0,1,0,0,0,0,0,0,0,0,0
2.0,106.0,2.0,1.0,1.0,4.0,1.0,0,1,12.0,0,3.0,40.0,5.0,123.0,0,1,0,0,0,0,0,0,0,0,0
4.0,124.0,3.0,2.0,2.0,5.0,3.0,0,1,14.0,0,6.0,45.0,6.0,102.0,0,0,0,0,0,0,0,0,0,1,0
2.0,95.0,2.0,1.0,1.0,3.0,1.0,0,1,9.0,0,6.0,35.142857142857146,7.0,50.0,0,0,0,0,1,0,0,0,0,0,0
2.0,35.0,1.0,1.0,1.0,2.0,1.0,1,1,4.0,0,6.0,37.02173913043478,6.0,122.58333333333331,0,0,0,0,0,0,0,0,1,0,0
2.0,75.0,1.0,1.0,1.0,2.0,1.0,0,1,7.0,0,4.0,36.0,7.0,33.0,0,0,0,0,0,0,0,1,0,0,0
4.0,91.0,2.0,1.0,1.0,4.0,1.0,0,1,9.0,0,6.0,34.053763440860216,6.0,99.0,0,0,1,0,0,0,0,0,0,0,0
4.0,113.0,3.0,1.0,2.0,6.0,1.0,0,1,20.0,1,6.0,35.0,7.0,85.0,0,0,0,0,0,0,0,0,0,1,0
2.0,94.0,2.0,1.0,1.0,4.0,2.0,0,1,7.63768115942029,0,6.0,29.546875,5.0,244.0,1,0,0,0,0,0,0,0,0,0,0
2.0,99.0,2.0,1.0,1.0,4.0,1.0,0,1,63.0,0,6.0,38.8,6.0,132.2969696969697,0,0,0,0,0,0,0,0,0,0,1
2.0,70.0,2.0,1.0,1.0,4.0,2.0,1,1,13.392523364485982,0,3.0,30.75675675675676,6.0,197.0,0,0,0,0,0,0,0,0,0,0,1
2.0,87.0,2.0,1.0,1.0,4.0,1.0,0,0,13.392523364485982,0,6.0,30.75675675675676,6.0,142.0,0,0,0,0,0,0,0,0,0,0,1
2.0,90.0,2.0,1.0,1.0,3.0,3.0,0,1,7.0,0,6.0,56.072463768115945,6.0,133.041484375,0,1,0,0,0,0,0,0,0,0,0
2.0,102.0,2.0,1.0,1.0,4.0,3.0,0,1,6.0,0,4.0,32.92857142857143,6.0,164.60368932038836,0,0,0,0,0,0,0,0,0,0,1
4.0,110.0,2.0,2.0,1.0,4.0,3.0,0,1,10.0,0,6.0,56.072463768115945,6.0,133.041484375,0,1,0,0,0,0,0,0,0,0,0
4.0,88.0,2.0,1.0,1.0,4.0,1.0,0,1,10.0,0,4.0,32.92857142857143,6.0,164.60368932038836,0,0,0,0,0,0,0,0,0,0,1
2.0,60.0,1.0,1.0,1.0,3.0,1.0,0,1,4.0,0,4.0,29.765217391304347,6.0,183.0,0,0,0,0,0,0,0,1,0,0,0
4.0,72.0,1.0,1.0,1.0,3.0,1.0,0,1,12.0,1,6.0,32.317880794701985,6.0,212.8184000111898,1,0,0,0,0,0,0,0,0,0,0
4.0,125.0,3.0,1.0,2.0,6.0,1.0,0,1,13.971428571428572,0,6.0,34.053763440860216,6.0,99.0,0,0,1,0,0,0,0,0,0,0,0
2.0,112.0,2.0,1.0,1.0,3.0,1.0,0,1,13.0,0,6.0,39.80769230769231,7.0,50.0,0,0,0,0,0,0,1,0,0,0,0
2.0,50.0,1.0,1.0,1.0,3.0,3.0,0,1,5.0,0,4.0,29.252225519287837,3.0,226.0,0,1,0,0,0,0,0,0,0,0,0
4.0,226.0,4.0,3.0,4.0,11.0,3.0,0,1,26.0,0,6.0,43.892857142857146,7.0,80.0,0,0,0,0,0,0,0,0,0,1,0
2.0,85.0,2.0,1.0,1.0,4.0,1.0,0,1,6.0,0,4.0,30.0,1.0,540.0,0,1,0,0,0,0,0,0,0,0,0
3.0,132.0,3.0,1.0,2.0,6.0,3.0,0,1,16.0,1,6.0,38.07826086956522,5.0,110.0,0,1,0,0,0,0,0,0,0,0,0
2.0,90.0,2.0,1.0,1.0,4.0,3.0,0,0,10.197080291970805,0,3.0,30.37837837837838,6.0,172.0,0,0,0,0,0,0,0,0,1,0,0
2.0,109.0,3.0,1.0,2.0,6.0,1.0,0,1,4.0,0,6.0,56.072463768115945,6.0,133.041484375,0,1,0,0,0,0,0,0,0,0,0
4.0,87.0,2.0,1.0,1.0,3.0,0.0,0,0,13.971428571428572,1,6.0,34.053763440860216,6.0,95.80851063829788,0,0,1,0,0,0,0,0,0,0,0
2.0,99.0,2.0,1.0,1.0,2.0,1.0,0,1,12.0,0,5.0,41.48275862068966,6.0,151.9254887218045,1,0,0,0,0,0,0,0,0,0,0
3.0,118.0,2.0,2.0,2.0,6.0,1.0,0,0,20.982558139534884,0,6.0,38.07826086956522,3.0,223.0,0,1,0,0,0,0,0,0,0,0,0
3.0,85.0,2.0,1.0,1.0,4.0,3.0,0,1,9.578212290502794,0,6.0,29.252225519287837,6.0,55.0,0,1,0,0,0,0,0,0,0,0,0
2.0,50.0,1.0,1.0,1.0,3.0,1.0,0,0,7.63768115942029,0,4.0,29.546875,6.0,121.0,1,0,0,0,0,0,0,0,0,0,0
2.0,81.0,2.0,1.0,1.0,4.0,1.0,0,1,12.0,1,4.0,30.0,2.0,541.0,1,0,0,0,0,0,0,0,0,0,0
4.0,104.0,2.0,1.0,2.0,5.0,1.0,0,1,42.0,1,4.0,38.5,8.0,38.0,0,0,0,0,0,1,0,0,0,0,0
2.0,59.0,1.0,1.0,1.0,3.0,1.0,0,1,18.0,0,4.0,32.92857142857143,6.0,164.60368932038836,0,0,0,0,0,0,0,0,0,0,1
2.0,117.0,3.0,1.0,1.0,5.0,1.0,0,1,12.0,1,6.0,38.5,7.0,105.22727272727272,0,0,0,0,0,1,0,0,0,0,0
2.0,80.0,2.0,1.0,1.0,4.0,1.0,0,0,17.80544747081712,0,4.0,41.48275862068966,7.0,73.0,1,0,0,0,0,0,0,0,0,0,0
2.0,110.0,2.0,1.0,3.0,6.0,1.0,0,1,50.0,0,4.0,30.0,4.0,370.0,0,0,0,0,0,0,0,0,0,0,1
2.0,59.0,1.0,1.0,1.0,3.0,2.0,0,0,12.023584905660377,0,6.0,20.0,4.0,175.0,0,1,0,0,0,0,0,0,0,0,0
2.0,103.0,2.0,1.0,2.0,5.0,3.0,0,1,36.0,0,6.0,45.0,7.0,80.43838983050847,0,0,0,0,0,0,0,1,0,0,0
2.0,33.0,0.0,1.0,1.0,2.0,1.0,0,0,13.392523364485982,0,4.0,30.75675675675676,5.0,207.0,0,0,0,0,0,0,0,0,0,0,1
4.0,103.0,2.0,1.0,1.0,4.0,0.0,0,1,9.0,0,6.0,45.0,7.0,144.18260869565216,0,0,0,0,1,0,0,0,0,0,0
2.0,71.0,1.0,1.0,1.0,3.0,3.0,0,1,9.578212290502794,0,6.0,31.0,6.0,86.0,0,1,0,0,0,0,0,0,0,0,0
2.0,86.0,2.0,1.0,1.0,4.0,0.0,0,1,3.0,0,2.0,33.0,5.0,269.0,1,0,0,0,0,0,0,0,0,0,0
2.0,123.0,2.0,1.0,1.0,3.0,1.0,0,1,34.0,0,4.0,32.92857142857143,6.0,164.60368932038836,0,0,0,0,0,0,0,0,0,0,1
2.0,61.0,1.0,1.0,1.0,1.0,3.0,0,1,7.0,0,6.0,29.252225519287837,4.0,218.1075692963753,0,1,0,0,0,0,0,0,0,0,0
2.0,89.0,2.0,1.0,1.0,4.0,0.0,0,1,6.0,0,6.0,36.0,7.0,97.72115384615384,0,0,0,0,0,1,0,0,0,0,0
4.0,65.0,1.0,1.0,1.0,3.0,3.0,0,0,9.578212290502794,0,6.0,20.0,2.0,327.0,0,1,0,0,0,0,0,0,0,0,0
2.0,200.0,3.0,1.0,2.0,6.0,3.0,0,1,21.0,0,4.0,46.0,6.0,134.0,0,0,0,0,0,0,0,0,1,0,0
3.0,113.0,2.0,2.0,2.0,2.0,0.0,0,1,12.0,0,6.0,43.892857142857146,9.0,58.52941176470589,0,0,0,0,0,0,0,0,0,1,0
2.0,91.0,2.0,1.0,1.0,4.0,1.0,0,1,14.0,1,4.0,38.5,7.0,59.0,0,0,0,0,0,1,0,0,0,0,0
2.0,91.0,2.0,1.0,1.0,4.0,1.0,0,1,10.0,0,4.0,36.0,7.0,81.0,0,0,0,0,0,1,0,0,0,0,0
2.0,64.0,1.0,1.0,1.0,3.0,3.0,0,1,5.0,0,6.0,27.0,6.0,95.0,0,0,0,0,0,0,0,0,0,1,0
4.0,129.0,3.0,2.0,1.0,6.0,3.0,0,0,12.023584905660377,0,6.0,33.66778523489933,5.0,202.54992167101827,0,1,0,0,0,0,0,0,0,0,0
2.0,105.0,1.0,1.0,1.0,3.0,1.0,0,1,15.0,0,4.0,31.515873015873016,7.0,80.43838983050847,0,0,0,0,0,0,0,1,0,0,0
2.0,99.0,3.0,1.0,1.0,4.0,1.0,0,0,13.03045685279188,0,4.0,29.765217391304347,5.0,274.0,0,0,0,0,0,0,0,1,0,0,0
