ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Land Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen,Kitchen Surface,Kitchen Type,Furnished,Openfire,Fireplace Count,Terrace,Terrace Surface,Terrace Orientation,Garden Exists,Garden Surface,Garden Orientation,Swimming Pool,State of Building,Living Surface,EPC,Consumption Per m2,Cadastral Income,Has starting Price,Transaction Subtype,Heating Type,Is Holiday Property,Gas Water Electricity,Sewer,Sea view,Parking count inside,Parking count outside,Parking box count
11149965,Waremme,4300,1974,3,115,,APARTMENT,APARTMENT,220000,NORMAL_SALE,3,1,2,6,False,10,,False,False,,True,,,False,,,False,GOOD,34,C,187,1194,False,BUY_REGULAR,FUELOIL,,,,,1,1,
11149932,Wetteren,9230,2015,3,134,,APARTMENT,DUPLEX,339000,NORMAL_SALE,3,1,2,6,True,,INSTALLED,False,False,,True,,,True,180,,False,GOOD,30,B,113,0,False,BUY_REGULAR,GAS,,,,,,1,
11150061,Ixelles,1050,1958,2,134,,APARTMENT,APARTMENT,495000,NORMAL_SALE,2,1,2,5,True,8,INSTALLED,False,False,,True,12,,False,,,False,GOOD,40,D,202,0,False,BUY_REGULAR,GAS,,,,,,,
11153822,BERCHEM,2600,1968,2,90,,APARTMENT,APARTMENT,175000,NORMAL_SALE,2,1,1,4,True,9,INSTALLED,False,False,,True,7,,False,,,,GOOD,37,B,124,986,,BUY_REGULAR,,,,,,,1,
11153121,Jette,1090,1965,2,80,,APARTMENT,APARTMENT,289000,NORMAL_SALE,3,1,1,5,True,9,INSTALLED,False,False,,True,2,,False,,,False,GOOD,30,G,383,1051,False,BUY_REGULAR,,,,,,,,
11156330,Brasschaat,2930,1996,2,315,,APARTMENT,PENTHOUSE,995000,NORMAL_SALE,2,1,2,5,True,,HYPER_EQUIPPED,True,True,-1,True,40,,False,,,,AS_NEW,,B,192,2946,False,BUY_REGULAR,,,,,,2,,
11139208,Anderlecht,1070,1966,2,76,,APARTMENT,APARTMENT,171717,NORMAL_SALE,2,1,1,4,True,,SEMI_EQUIPPED,False,False,,True,6,,False,,,False,TO_RENOVATE,36,F,326,1021,False,BUY_REGULAR,GAS,,,,,,,
9887762,Brussels City,1000,,,25,,APARTMENT,APARTMENT,195500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887763,Brussels City,1000,,,25,,APARTMENT,APARTMENT,195500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887764,Brussels City,1000,,,24,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887767,Brussels City,1000,,,24,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887769,Brussels City,1000,,,24,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887765,Brussels City,1000,,,24,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887768,Brussels City,1000,,,24,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887766,Brussels City,1000,,,24,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887771,Brussels City,1000,,,25,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887772,Brussels City,1000,,,25,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887775,Brussels City,1000,,,25,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887770,Brussels City,1000,,,25,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
9887778,Brussels City,1000,,,25,,APARTMENT,APARTMENT,223500,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,
